name,phone,address,website,rating,user_ratings_total
Senkron Gayrimenkul EMLAK OFiSi FENERYOLU KADIKÖY iSTANBUL,0533 385 49 91,"A, Feneryolu, Göktepe Sk. No:12, 34724 Kadıköy/İstanbul, Türkiye",https://senkrongayrimenkul.sahibinden.com/,5,199
Emlakçı Oytun Mertol Gayrimenkul Danışmanlığı,(0216) 345 40 04,"Osmanağa, Serasker Cd. no: 49/1, 34714 Kadıköy/İstanbul, Türkiye",,5,481
NESA EMLAK MODA,0533 314 47 99,"Geçit Apartmanı, Caferağa, Moda Cd. No:141 D:2, 34710 Kadıköy/İstanbul, Türkiye",http://www.nesaemlakmoda.com/,4.8,82
Size Özel Emlak,0532 508 14 11,"Kozyatağı, Sıtma Pınar Sk. No:9, 34742 Kadıköy/İstanbul, Türkiye",,5,142
Akar Emlak,,"Merdivenköy, Küme Sk. NO:33/A, 34732 Kadıköy/İstanbul, Türkiye",http://akaremlak.sahibinden.com/,4.9,133
RE/MAX Yıldız,(0216) 380 17 17,"19 Mayıs, İnönü Cd. No:92 K:2, 34736 Kadıköy/İstanbul, Türkiye",http://www.remax-yildiz.com/,4.4,115
Fidan Gayrimenkul Emlak,0507 452 81 09,"Doğan Bey Apt, Merdivenköy, Hamle Sk. No:4 D:B, 34732 Kadıköy/İstanbul, Türkiye",,4.5,119
Berat Oğur Emlak,0533 468 48 56,"Caferağa, Ressam Şeref Akdik Sokağı No : 36 / C, 34710 Kadıköy/İstanbul, Türkiye",http://beratogur.com.tr/,4.5,49
Mavi Emlak Bağdat Caddesi,0532 304 65 85,"Ethemefendi Cad, Erenköy, Fırın Sk. Turan Ap No:10/B, 34738 Kadıköy/İstanbul, Türkiye",http://www.maviemlak.org/,4.9,42
ACIBADEM EMLAK,0535 462 76 00,"Acibadem Dörtyol, Acıbadem, Sarayardı Cd. No: 9A, 34660 Kadıköy/İstanbul, Türkiye",https://www.sahibinden.com/ilan/emlak-konut-satilik-ozel-mimarisiyle-ilginizi-cekecek-tasarim-esyali-satilik-dublex-1226001496/detay,4.9,40
Yaşam Emlak,(0216) 337 04 77,"Feneryolu, Fahrettin Kerim Gökay Cd No:84, 34724 Kadıköy/İstanbul, Türkiye",,4.9,49
Sembol Emlak,(0216) 599 12 34,"Fener Kalamış Caddesi, Fenerbahçe, Bilgili Sk. Can Apt No:6/4, 34726 Kadıköy/İstanbul, Türkiye",http://www.sembolemlak.com/,5,22
ARTI GAYRİMENKUL KOZYATAĞI,(0216) 361 20 20,"19 Mayıs Mah, Kozyatağı, Bayar Cd. No:22/1, 34736 Kadıköy/İstanbul, Türkiye",https://gayrimenkularti.com/,4.9,40
Kadikoy Kiralık Daire Emlak Ofisi,0533 741 03 34,"Merdivenköy, 34732 Kadıköy/İstanbul, Türkiye",,5,15
Kadıköy Emlak,(0216) 450 39 94,"Rasimpaşa, İzzettin Sk. 70/A, 34716 Kadıköy/İstanbul, Türkiye",https://www.sahibinden.com/satilik-daire/istanbul-kadikoy/emlak-ofisinden,4.3,9
